PID	SIZE		PATH
16501			Special file gorilla
16503			Special file 9000k.txt
16503	97		example_9216000_9567232//z_101376_200704/kat_99328
16504	17		example_9216000_9567232//g_128000_150528/s_0_22528/o_17408
16501	99		example_9216000_9567232//z_101376_200704
16505	5		example_9216000_9567232//g_128000_150528/s_0_22528/k_5120
16502	0		example_9216000_9567232//g_128000_150528/s_0_22528
16500	125		example_9216000_9567232//g_128000_150528
16499	9000		example_9216000_9567232/
7 child processes created. Main process is 16498.
